Company,ESG Risk Rating,Score
Agfa-Gevaert NV,Low ESG Risk,14.3
Agile Group Holdings Ltd.,Low ESG Risk,17.5
"Agilent Technologies, Inc.",Low ESG Risk,13.3
"Agiliti, Inc. (Minnesota)",Medium ESG Risk,21.2
Agility Public Warehousing Co. KSC,Medium ESG Risk,20.7
"Agilon Health, Inc.",Medium ESG Risk,26.0
"Agilysys, Inc.",Low ESG Risk,13.2
"Agios Pharmaceuticals, Inc.",Medium ESG Risk,23.7
AGL Energy Ltd.,High ESG Risk,35.6
AGNC Investment Corp.,Negligible ESG Risk,9.4
Agnico Eagle Mines Ltd.,Medium ESG Risk,21.4
"Agora, Inc. (China)",Medium ESG Risk,25.9
AGRANA Beteiligungs-AG,Medium ESG Risk,29.7
Agree Realty Corp.,Low ESG Risk,15.2
Agricultural Bank of China (London Branch),Medium ESG Risk,26.1
Agricultural Bank of China Ltd.,High ESG Risk,32.4
Agricultural Bank of China Ltd. (Singapore Branch),Medium ESG Risk,28.8
Agricultural Development Bank of China,Low ESG Risk,19.7
Agritrade Resources Ltd.,Severe ESG Risk,55.7
Agrosuper SA,High ESG Risk,34.1
Agthia Group PJSC,High ESG Risk,30.9
Agua y Saneamientos Argentinos SA,High ESG Risk,37.1
Aguas Andinas SA,Medium ESG Risk,22.0
AGV Products Corp.,High ESG Risk,33.0
Ahli Bank QPSC,High ESG Risk,35.1
Ahli United Bank,Medium ESG Risk,26.5
"Ahnlab, Inc.",Medium ESG Risk,25.7
Ai Holdings Corp.,Low ESG Risk,17.0
AIA Engineering Ltd.,Medium ESG Risk,23.9
AIA Group Ltd.,Low ESG Risk,12.7
AIB Group plc,Low ESG Risk,12.7
Aibel ASA,Low ESG Risk,14.6
"Aica Kogyo Co., Ltd.",Medium ESG Risk,25.6
Aichi Corp.,Medium ESG Risk,29.4
"Aichi Financial Group, Inc.",High ESG Risk,34.2
Aichi Steel Corp.,High ESG Risk,37.9
Aida Engineering Ltd.,High ESG Risk,31.2
"Aier Eye Hospital Group Co., Ltd.",Medium ESG Risk,28.9
AIFUL Corp.,Medium ESG Risk,29.5
"AIM Vaccine Co., Ltd.",Medium ESG Risk,27.5
"AIMA Technology Group Co., Ltd.",Low ESG Risk,13.0
