,Company Name,Date,Environment,Social,Governance,ESG_ratings,Final_ESG_Score,Historical_esg_score
54,London Stock Exchange Group plc,2022-11-11,64.98500000000001,-1.0,-1.0,-1.0,64.98500000000001,64.98500000000001
53,Piper Sandler Companies,2022-11-15,-1.0,50.625,-1.0,-1.0,50.625,50.625
52,"Environmental, Social, and Governance",2022-12-01,-1.0,-1.0,65.7,-1.0,65.7,62.33681818181818
51,European Union,2022-12-05,54.4475,-1.0,-1.0,-1.0,54.4475,59.617386363636356
50,Standard & Poor's Financial Services LLC,2022-12-12,50.0,-1.0,-1.0,-1.0,50.0,50.0
49,86%,2022-12-19,-1.0,-1.0,48.56886363636364,-1.0,48.56886363636364,48.56886363636364
48,"China Asset Management Co., Ltd.",2023-01-26,-1.0,-1.0,66.12416666666667,-1.0,66.12416666666667,66.12416666666667
47,AXA S.A.,2023-02-26,-1.0,47.432500000000005,-1.0,-1.0,47.432500000000005,47.432500000000005
46,UBS Group AG,2023-03-06,54.03,-1.0,-1.0,27.5,81.53,83.2755
45,Bank of Montreal (BMO Financial Group),2023-03-07,50.0,-1.0,-1.0,-1.0,50.0,53.1625
44,Smurfit Kappa Group plc,2023-03-15,59.63636363636364,-1.0,-1.0,-1.0,59.63636363636364,57.65318181818182
43,Credit Suisse Group AG,2023-03-15,59.544999999999995,-1.0,-1.0,-1.0,59.544999999999995,59.544999999999995
42,Jefferies Financial Group Inc.,2023-03-24,-1.0,50.0,-1.0,-1.0,50.0,50.0
40,World Federation of Exchanges,2023-03-25,56.4625,-1.0,-1.0,-1.0,56.4625,56.4625
41,Nestlé S.A.,2023-03-25,43.17,-1.0,-1.0,-1.0,43.17,51.1
39,Royal Dutch Shell plc,2023-03-30,51.83,-1.0,-1.0,-1.0,51.83,44.5325
38,Most,2023-04-03,60.598333333333336,-1.0,-1.0,-1.0,60.598333333333336,60.598333333333336
37,H&M Hennes & Mauritz AB,2023-04-03,-1.0,-1.0,55.0575,18.3,73.3575,73.3575
36,MSCI Inc.,2023-04-03,-1.0,-1.0,42.1875,-1.0,42.1875,47.79829545454545
34,Climate Change,2023-04-17,67.81,-1.0,-1.0,-1.0,67.81,57.33847222222222
35,OMV Aktiengesellschaft,2023-04-17,55.5375,-1.0,-1.0,-1.0,55.5375,55.5375
33,KPMG,2023-04-23,-1.0,-1.0,50.0,-1.0,50.0,50.0
31,Citigroup Inc.,2023-04-24,50.83333333333333,-1.0,-1.0,-1.0,50.83333333333333,54.98296969696969
32,2nd,2023-04-24,50.0,-1.0,-1.0,-1.0,50.0,50.0
30,Robeco,2023-04-25,49.4475,-1.0,-1.0,-1.0,49.4475,51.298333333333325
29,Endeavour Silver Corp.,2023-05-16,50.0,-1.0,-1.0,35.9,85.9,85.9
28,183,2023-05-16,61.53,-1.0,-1.0,-1.0,61.53,61.53
27,More,2023-05-26,46.766666666666666,-1.0,-1.0,-1.0,46.766666666666666,46.766666666666666
26,J.P. Morgan Cazenove,2023-05-30,62.5,-1.0,-1.0,-1.0,62.5,71.265
25,Sjunde AP-fonden,2023-05-30,56.41969696969697,-1.0,-1.0,-1.0,56.41969696969697,56.41969696969697
24,Credit Suisse Group AG,2023-06-01,65.08916666666667,-1.0,-1.0,-1.0,65.08916666666667,61.393055555555556
23,Philip Morris International Inc.,2023-06-21,-1.0,71.7475,-1.0,-1.0,71.7475,61.08208333333333
22,The Carlyle Group Inc.,2023-06-30,60.5375,-1.0,-1.0,-1.0,60.5375,60.5375
21,Fidelity Investments,2023-07-04,42.12833333333334,-1.0,-1.0,-1.0,42.12833333333334,51.47888888888889
20,Union Bancaire Privée UBP SA,2023-07-11,-1.0,50.0,-1.0,-1.0,50.0,46.875
18,European Union,2023-07-13,-1.0,-1.0,54.4475,-1.0,54.4475,57.8940909090909
19,"MetLife, Inc.",2023-07-13,62.5,-1.0,-1.0,16.8,79.3,79.3
17,Barclays PLC,2023-07-18,53.40909090909091,-1.0,-1.0,23.8,77.2090909090909,75.80109848484848
16,"Amazon.com, Inc.",2023-07-29,58.5575,-1.0,-1.0,30.2,88.7575,88.7575
15,UBS Group AG,2023-08-03,61.47,-1.0,-1.0,27.5,88.97,84.22458333333333
14,United Kingdom,2023-08-14,51.70454545454545,-1.0,-1.0,-1.0,51.70454545454545,51.670606060606055
13,Novelis Inc.,2023-09-25,60.5375,-1.0,-1.0,-1.0,60.5375,60.5375
12,Aviva plc,2023-10-05,50.0,-1.0,-1.0,-1.0,50.0,53.512499999999996
